Course Name,Timestamp,Rating,Comment
The Python Course: AI/ML in Python,2021-04-02 06:25:52+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-02 05:12:34+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-02 05:11:03+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-02 03:33:24+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-02 03:31:49+00:00,4.5,
The Python Course: AI/ML in Python,2021-04-02 01:10:06+00:00,4.5,
The Python Course: AI/ML in Python,2021-04-02 00:44:54+00:00,4.5,
The Python Course: AI/ML in Python,2021-04-01 23:42:02+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 21:58:40+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 20:13:27+00:00,5.0,
The Python Course: OpenCV in Python,2021-04-01 18:56:12+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-01 15:25:18+00:00,5.0,No
The Python Course: 100 Excercises for Beginners,2021-04-01 15:03:17+00:00,4.5,
The Python Course: OpenCV in Python,2021-04-01 13:56:49+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-01 13:42:13+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-01 12:16:11+00:00,4.5,
The Python Course: AI/ML in Python,2021-04-01 09:38:30+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 09:35:44+00:00,3.5,
The Python Course: 100 Excercises for Beginners,2021-04-01 09:00:03+00:00,4.5,
The Python Course: 100 Excercises for Beginners,2021-04-01 08:47:42+00:00,4.5,Excellent set of practical problems.  Thank you!
The Python Course: AI/ML in Python,2021-04-01 07:52:40+00:00,4.5,
The Python Course: AI/ML in Python,2021-04-01 07:26:47+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-01 05:47:51+00:00,5.0,Great course.
The Python Course: AI/ML in Python,2021-04-01 05:06:31+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 04:42:35+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-01 04:10:03+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 03:53:48+00:00,4.0,
The Python Course: Interactive Visualizations,2021-04-01 03:52:44+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 03:19:33+00:00,5.0,
The Python Course: OpenCV in Python,2021-04-01 02:52:05+00:00,4.0,
The Python Course: AI/ML in Python,2021-04-01 02:27:49+00:00,5.0,
The Python Course: OpenCV in Python,2021-04-01 01:32:52+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 01:24:17+00:00,5.0,
The Python Course: AI/ML in Python,2021-04-01 00:39:47+00:00,5.0,
The Python Course: OpenCV in Python,2021-03-31 22:53:04+00:00,5.0,
The Python Course: OpenCV in Python,2021-03-31 22:24:11+00:00,3.5,
The Python Course: 100 Excercises for Beginners,2021-03-31 22:15:57+00:00,4.5,
The Python Course: OpenCV in Python,2021-03-31 22:07:01+00:00,4.0,
The Python Course: OpenCV in Python,2021-03-31 21:31:40+00:00,4.0,
The Python Course: AI/ML in Python,2021-03-31 21:29:29+00:00,4.0,
The Python Course: Interactive Visualizations,2021-03-31 20:58:08+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 20:31:07+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 19:40:55+00:00,4.0,
The Python Course: OpenCV in Python,2021-03-31 19:15:25+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 19:08:13+00:00,5.0,
The Python Course: OpenCV in Python,2021-03-31 17:23:15+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 17:18:19+00:00,4.0,
The Python Course: 100 Excercises for Beginners,2021-03-31 15:20:17+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 15:14:02+00:00,5.0,
The Python Course: OpenCV in Python,2021-03-31 14:38:11+00:00,4.0,
The Python Course: AI/ML in Python,2021-03-31 13:11:04+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 12:32:01+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 12:25:51+00:00,4.0,
The Python Course: AI/ML in Python,2021-03-31 11:32:52+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 11:22:13+00:00,5.0,
The Python Course: Interactive Visualizations,2021-03-31 10:47:17+00:00,4.0,
The Python Course: AI/ML in Python,2021-03-31 09:59:29+00:00,5.0,
The Python Course: AI/ML in Python,2021-03-31 08:41:48+00:00,2.0,Coding is awful confusing. Loads of weird stuff that you are just supposed to accept as fact and never fully explained as to why it is the way it is.
The Python Course: AI/ML in Python,2021-03-31 07:44:52+00:00,4.5,
